station	lat	lon
Agathenburg	53,547586	10,021733
Airport	53,633622	9,997413
Allermöhe	53,490356	10,158735
Alte Wöhr	53,59745	10,035924
Altona	53,547586	10,021733
Aumühle	53,5299191	10,3147444
Bahrenfeld	53,5601795	9,910018
Barmbek	53,5869584	10,0442404
Bergedorf	53,547586	10,021733
Berliner Tor 1	53,5535348	10,0244224
Berliner Tor 2	53,5535348	10,0244224
Billwerder-Moorfleet	53,5159647	10,0960127
Blankenese	53,5640183	9,8139202
Buxtehude	53,547586	10,021733
Dammtor	53,547586	10,021733
Diebsteich	53,5681992	9,9343172
Dollern	53,547586	10,021733
Eidelstedt	53,5960268	9,9067142
Elbgaustraße	53,6027457	9,893277
Fischbek	53,474731	9,819561
Friedrichsberg	53,5761475	10,0579046
Halstenbek	53,630377	9,839092
Hammerbrook	53,547586	10,021733
Harburg	53,4562247	9,9916262
Harburg-Rathaus	53,4607351	9,9804282
Hasselbrook	53,5649401	10,0571328
Hauptbahnhof	53,5528124	10,0069792
Heimfeld	53,4655305	9,9629282
Hochkamp	53,5613616	9,8420395
Hoheneichen	53,635478	10,067648
Holstenstraße	53,5619236	9,9490299
Horneburg	53,5528124	10,0069792
Iserbrook	53,576606	9,8140489
Jungfernstieg	53,5528692	9,9929012
Klein Flottbek	53,5581625	9,8607657
Königstraße	53,5483443	9,9456298
Kornweg	53,632381	10,053841
Krupunder	53,6161962	9,8672928
Landungsbrücken	53,5458199	9,9710671
Landwehr	53,561199	10,038021
Langenfelde	53,5796837	9,9308434
Mittlerer Landweg	53,498172	10,1311219
Nettelnburg	53,4881172	10,181317
Neu Wulmstorf	53,4729807	9,788496
Neugraben	53,4737907	9,8530336
Neukloster	53,8648866	11,6786676
Neuwiedenthal	53,4730168	9,8770622
Ohlsdorf	53,6210286	10,031185
Othmarschen	53,5591781	9,8856436
Pinneberg	53,547586	10,021733
Poppenbüttel	53,6516689	10,0937107
Reeperbahn	53,547586	10,021733
Reinbek	53,547586	10,021733
Rissen	53,583216	9,757057
Rothenburgsort	53,5386209	10,043469
Rübenkamp	53,6059766	10,0331156
Stade	53,547586	10,021733
Stadthausbrücke	53,5497831	9,9863346
Stellingen	53,5899458	9,9185462
Sternschanze	53,5638824	9,9657334
Sülldorf	53,581122	9,797519
Thesdorf	53,547586	10,021733
Tiefstack	53,531225	10,065591
Veddel	53,521703	10,0133129
Wandsbeker Chaussee	53,5700778	10,0596621
Wedel	53,5816704	9,7046308
Wellingsbüttel	53,641327	10,082825
Wilhelmsburg	53,4978929	10,0068173
Wohltorf	53,520589	10,278184
